Timestamp (UTC),Market Slug,AI Decision,Strike Price,Final Price,Actual Outcome,Result,Running Win Rate (%)
2026-02-20 21:20:00,btc-updown-5m-1771622100,DOWN,67699.16,67722.00,UP,LOSS,0.00
2026-02-20 21:25:01,btc-updown-5m-1771622400,UP,67710.57,67721.85,UP,WIN,100.00
2026-02-20 21:30:04,btc-updown-5m-1771622700,UP,67704.10,67731.41,UP,WIN,100.00
2026-02-20 21:35:03,btc-updown-5m-1771623000,UP,67722.48,67746.37,UP,WIN,100.00
2026-02-20 21:40:01,btc-updown-5m-1771623300,UP,67736.40,67799.71,UP,WIN,100.00
2026-02-20 21:45:00,btc-updown-5m-1771623600,UP,67781.38,67764.01,DOWN,LOSS,80.00
2026-02-20 21:50:03,btc-updown-5m-1771623900,UP,67738.74,67801.82,UP,WIN,83.33
2026-02-20 21:55:02,btc-updown-5m-1771624200,UP,67775.51,67796.32,UP,WIN,85.71
2026-02-20 22:00:00,btc-updown-5m-1771624500,UP,67789.86,67822.02,UP,WIN,87.50
2026-02-20 22:05:04,btc-updown-5m-1771624800,UP,67798.80,67788.80,DOWN,LOSS,77.78
2026-02-20 22:10:03,btc-updown-5m-1771625100,UP,67760.21,67731.69,DOWN,LOSS,70.00
2026-02-20 22:15:02,btc-updown-5m-1771625400,UP,67720.37,67659.40,DOWN,LOSS,63.64
2026-02-20 22:20:00,btc-updown-5m-1771625700,UP,67638.36,67777.04,UP,WIN,66.67
2026-02-20 22:25:03,btc-updown-5m-1771626000,DOWN,67749.51,67945.32,UP,LOSS,61.54
2026-02-20 22:30:02,btc-updown-5m-1771626300,UP,67948.46,67936.49,DOWN,LOSS,57.14
2026-02-20 22:35:00,btc-updown-5m-1771626600,UP,67910.76,67979.66,UP,WIN,60.00
2026-02-20 22:40:04,btc-updown-5m-1771626900,UP,67962.31,67976.36,UP,WIN,62.50
2026-02-20 22:45:02,btc-updown-5m-1771627200,UP,67987.81,67963.75,DOWN,LOSS,58.82
2026-02-20 22:50:01,btc-updown-5m-1771627500,UP,67939.82,68008.50,UP,WIN,61.11
2026-02-20 22:55:04,btc-updown-5m-1771627800,UP,67995.55,68049.95,UP,WIN,63.16
2026-02-20 23:00:03,btc-updown-5m-1771628100,UP,68024.68,68054.01,UP,WIN,65.00
2026-02-20 23:05:01,btc-updown-5m-1771628400,UP,68068.77,68116.50,UP,WIN,66.67
